trial_id,trajectory_name,axis,k_index,n_samples,n_raw_samples,n_removed_samples,valid_fraction,passes_valid_fraction_threshold,duration_s,mean_eul_err_norm_deg,rms_eul_err_norm_deg,max_eul_err_norm_deg,median_eul_err_norm_deg,p95_eul_err_norm_deg,mean_error_angle_so3_deg,rms_error_angle_so3_deg,max_error_angle_so3_deg,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_yaw_err_deg,rms_roll_err_deg,rms_pitch_err_deg,rms_yaw_err_deg,dominant_error_component,mean_eul_err_azimuth_deg,mean_eul_err_elevation_deg,n_direction_samples,relative_csv_path,relative_mat_path,source_muse_file,source_robot_file
muse_x_k001_t1,t1,x,1,6854,6854,0,1,1,54.824,2.26113683523332,2.52426681711207,4.05134060541233,2.40592510576132,3.71180841119356,2.262715538101,2.52650151722551,4.06275826770955,0.431722186930967,1.50687592316103,1.21251781712522,0.578583503051127,1.95017916768661,1.49464554590423,pitch_y,-89.5999538589311,-23.7996761962216,6302,trajectories/t1/x/aligned_quaternions.csv,trajectories/t1/x/aligned_quaternions.mat,t1_wst.txt,t1_wst.mat
muse_x_k002_t2,t2,x,2,6990,6990,0,1,1,55.912,3.19383780776579,5.16997444389899,32.1302734277358,2.60628614117848,9.66405402655107,3.19077952795913,5.15133533539506,31.8478107130013,1.26663834990457,1.7818285271284,1.36949104838787,4.40890933704927,2.24672425685808,1.49745928889368,roll_x,-103.183659279579,-36.1711599130098,5697,trajectories/t2/x/aligned_quaternions.csv,trajectories/t2/x/aligned_quaternions.mat,t2_wst.txt,t2_wst.mat
muse_x_k003_t3_f1_a1,t3_f1_A1,x,3,2436,2436,0,1,1,19.48,1.62314789166902,1.84470704568482,3.18473264657932,1.59000555542061,3.03473679255279,1.62316947811554,1.84473671944634,3.18493900561939,0.254509875204987,1.56390883566394,0.0812552266862792,0.324941639470933,1.81290706839638,0.10356146337128,pitch_y,-85.0181363516991,0.758901391448682,2426,trajectories/t3_f1_a1/x/aligned_quaternions.csv,trajectories/t3_f1_a1/x/aligned_quaternions.mat,t3_f1_A1_wst.txt,t3_f1_A1_wst.mat
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,2415,2415,0,1,1,19.312,1.6857357575146,1.91120394750711,3.41800325521626,1.6341775950341,3.14945179951468,1.68573077192043,1.9112111185404,3.41668144974815,0.287313414116426,1.61460917792414,0.112204808696971,0.346416197022329,1.87414819954925,0.142354745385074,pitch_y,-80.0207981775976,-0.767502592252095,2398,trajectories/t3_f1_a2/x/aligned_quaternions.csv,trajectories/t3_f1_a2/x/aligned_quaternions.mat,t3_f1_A2_wst.txt,t3_f1_A2_wst.mat
muse_x_k005_t3_f1_a3,t3_f1_A3,x,5,2442,2442,0,1,1,19.528,1.68967955268646,1.88103644905772,3.36826258682612,1.63914615120605,3.03917960177892,1.68953621757484,1.88089260348838,3.3681819111145,0.454427489859936,1.53828382691787,0.146965448330751,0.536037653642614,1.7929674188519,0.190340724745303,pitch_y,-86.8749857170894,-0.303145356330862,2441,trajectories/t3_f1_a3/x/aligned_quaternions.csv,trajectories/t3_f1_a3/x/aligned_quaternions.mat,t3_f1_A3_wst.txt,t3_f1_A3_wst.mat
muse_x_k006_t3_f2_a1,t3_f2_A1,x,6,927,927,0,1,1,7.408,1.05249712354073,1.12936174740489,2.05960535362016,1.037731123476,1.72948471354057,1.05241237308383,1.12924010278799,2.0576242592253,0.691743707212333,0.631166159747836,0.175896438046786,0.830139267411916,0.73410662121086,0.217748069788489,roll_x,-48.9183136890362,3.45430790140075,926,trajectories/t3_f2_a1/x/aligned_quaternions.csv,trajectories/t3_f2_a1/x/aligned_quaternions.mat,t3_f2_A1_wst.txt,t3_f2_A1_wst.mat
muse_x_k007_t3_f2_a2,t3_f2_A2,x,7,948,948,0,1,1,7.576,1.54000609980938,1.77833301994219,6.25811454819315,1.33239489047772,3.68120609903231,1.53920256029725,1.77708815668536,6.25270010167745,1.1408566545164,0.738800007568244,0.315286736878717,1.47637395506279,0.837291264795841,0.530783960312992,roll_x,-75.3551192980082,-5.29617401764666,940,trajectories/t3_f2_a2/x/aligned_quaternions.csv,trajectories/t3_f2_a2/x/aligned_quaternions.mat,t3_f2_A2_wst.txt,t3_f2_A2_wst.mat
muse_x_k008_t3_f2_a3,t3_f2_A3,x,8,929,929,0,1,1,7.424,1.20806378450935,1.29852452408253,3.97387119648213,1.14906572097621,2.03698167512401,1.20742241130955,1.29771842231179,3.96776882143621,0.810799212575999,0.574923322354507,0.413249628044839,0.983035447135649,0.645327383321396,0.550781097764017,roll_x,-45.411660835037,-11.9864216920575,928,trajectories/t3_f2_a3/x/aligned_quaternions.csv,trajectories/t3_f2_a3/x/aligned_quaternions.mat,t3_f2_A3_wst.txt,t3_f2_A3_wst.mat
muse_x_k009_t3_f3_a1,t3_f3_A1,x,9,448,448,0,1,1,3.576,1.31011680921461,1.52585139095911,4.29245598364348,1.15118469881344,3.03566899184185,1.30949238676867,1.52508085976163,4.29203039414481,1.13247349123322,0.302392175842871,0.372805572505696,1.41626896598753,0.356120128220792,0.442247823678597,roll_x,-142.461849064285,9.64950993162677,446,trajectories/t3_f3_a1/x/aligned_quaternions.csv,trajectories/t3_f3_a1/x/aligned_quaternions.mat,t3_f3_A1_wst.txt,t3_f3_A1_wst.mat
muse_x_k010_t3_f3_a2,t3_f3_A2,x,10,492,492,0,1,1,3.928,3.38897060409865,3.99325996855019,9.44332140944558,2.97525357807538,7.38160227622059,3.38875583018028,3.99296849532481,9.44047686454558,3.22436535208822,0.446116615661935,0.472911854054841,3.90858865588512,0.490786481612991,0.654361157907097,roll_x,-132.998695205182,-5.7221377354628,486,trajectories/t3_f3_a2/x/aligned_quaternions.csv,trajectories/t3_f3_a2/x/aligned_quaternions.mat,t3_f3_A2_wst.txt,t3_f3_A2_wst.mat
